ds,y
"2014/07/15","137"
"2014/07/16","105"
"2014/07/17","110"
"2014/07/18","81"
"2014/07/19","29"
"2014/07/20","11"
"2014/07/21","107"
"2014/07/22","104"
"2014/07/23","116"
"2014/07/24","139"
"2014/07/25","84"
"2014/07/26","37"
"2014/07/27","19"
"2014/07/28","103"
"2014/07/29","126"
"2014/07/30","121"
"2014/07/31","107"
"2014/08/01","82"
"2014/08/02","41"
"2014/08/03","12"
"2014/08/04","104"
"2014/08/05","115"
"2014/08/06","153"
"2014/08/07","96"
"2014/08/08","94"
"2014/08/09","34"
"2014/08/10","14"
"2014/08/11","85"
"2014/08/12","86"
"2014/08/13","114"
"2014/08/14","109"
"2014/08/15","81"
"2014/08/16","25"
"2014/08/17","18"
"2014/08/18","101"
"2014/08/19","117"
"2014/08/20","91"
"2014/08/21","118"
"2014/08/22","92"
"2014/08/23","27"
"2014/08/24","16"
"2014/08/25","89"
"2014/08/26","85"
"2014/08/27","91"
"2014/08/28","80"
"2014/08/29","68"
"2014/08/30","24"
"2014/08/31","3"
"2014/09/01","42"
"2014/09/02","106"
"2014/09/03","93"
"2014/09/04","110"
"2014/09/05","81"
"2014/09/06","38"
"2014/09/07","10"
"2014/09/08","102"
"2014/09/09","115"
"2014/09/10","103"
"2014/09/11","102"
"2014/09/12","117"
"2014/09/13","42"
"2014/09/14","10"
"2014/09/15","118"
"2014/09/16","112"
"2014/09/17","119"
"2014/09/18","110"
"2014/09/19","120"
"2014/09/20","45"
"2014/09/21","7"
"2014/09/22","103"
"2014/09/23","113"
"2014/09/24","113"
"2014/09/25","106"
"2014/09/26","112"
"2014/09/27","27"
"2014/09/28","11"
"2014/09/29","118"
"2014/09/30","120"
"2014/10/01","128"
"2014/10/02","109"
"2014/10/03","97"
"2014/10/04","40"
"2014/10/05","13"
"2014/10/06","107"
"2014/10/07","113"
"2014/10/08","127"
"2014/10/09","103"
"2014/10/10","119"
"2014/10/11","27"
"2014/10/12","8"
"2014/10/13","113"
"2014/10/14","115"
"2014/10/15","121"
"2014/10/16","125"
"2014/10/17","108"
"2014/10/18","53"
"2014/10/19","11"
"2014/10/20","110"
"2014/10/21","117"
"2014/10/22","111"
"2014/10/23","108"
"2014/10/24","102"
"2014/10/25","38"
"2014/10/26","6"
"2014/10/27","112"
"2014/10/28","122"
"2014/10/29","120"
"2014/10/30","114"
"2014/10/31","120"
"2014/11/01","43"
"2014/11/02","4"
"2014/11/03","108"
"2014/11/04","113"
"2014/11/05","110"
"2014/11/06","125"
"2014/11/07","57"
"2014/11/08","24"
"2014/11/09","27"
"2014/11/10","120"
"2014/11/11","114"
"2014/11/12","121"
"2014/11/13","119"
"2014/11/14","112"
"2014/11/15","47"
"2014/11/16","6"
"2014/11/17","104"
"2014/11/18","110"
"2014/11/19","124"
"2014/11/20","94"
"2014/11/21","108"
"2014/11/22","56"
"2014/11/23","17"
"2014/11/24","124"
"2014/11/25","126"
"2014/11/26","105"
"2014/11/27","17"
"2014/11/28","35"
"2014/11/29","45"
"2014/11/30","10"
"2014/12/01","132"
"2014/12/02","130"
"2014/12/03","117"
"2014/12/04","117"
"2014/12/05","104"
"2014/12/06","41"
"2014/12/07","32"
"2014/12/08","126"
"2014/12/09","115"
"2014/12/10","127"
"2014/12/11","109"
"2014/12/12","135"
"2014/12/13","91"
"2014/12/14","15"
"2014/12/15","71"
"2014/12/16","115"
"2014/12/17","104"
"2014/12/18","95"
"2014/12/19","98"
"2014/12/20","45"
"2014/12/21","32"
"2014/12/22","74"
"2014/12/23","56"
"2014/12/24","29"
"2014/12/25","2"
"2014/12/26","20"
"2014/12/27","40"
"2014/12/28","16"
"2014/12/29","34"
"2014/12/30","49"
"2014/12/31","58"
"2015/01/01","12"
"2015/01/02","47"
"2015/01/03","19"
"2015/01/04","17"
"2015/01/05","82"
"2015/01/06","94"
"2015/01/07","97"
"2015/01/08","103"
"2015/01/09","105"
"2015/01/10","61"
"2015/01/11","27"
"2015/01/12","113"
"2015/01/13","105"
"2015/01/14","96"
"2015/01/15","119"
